,precision,recall,f1-score,support
No Tumor,0.9524590163934427,0.9723849372384937,0.9623188405797102,1195.0
Tumor,0.9733441033925686,0.9540775930324624,0.9636145541783286,1263.0
accuracy,0.9629780309194467,0.9629780309194467,0.9629780309194467,0.9629780309194467
macro avg,0.9629015598930056,0.9632312651354781,0.9629666973790194,2458.0
weighted avg,0.9631904504373384,0.9629780309194467,0.962984620187137,2458.0
